"biotypes"	"length"	"gc"
"ENSG00000233547"	"antisense"	460	47.61
"ENSG00000233546"	"pseudogene"	266	53.38
"ENSG00000233545"	"pseudogene"	327	42.81
"ENSG00000233544"	"pseudogene"	626	48.56
"ENSG00000235268"	"protein_coding"	2339	50.58
"ENSG00000174106"	"protein_coding"	1371	42.63
"ENSG00000174100"	"protein_coding"	889	45.44
"ENSG00000235260"	"pseudogene"	343	56.56
"ENSG00000235261"	"antisense"	711	50.07
"ENSG00000235262"	"sense_intronic"	755	46.23
"ENSG00000235263"	"lincRNA"	708	52.12
"ENSG00000235264"	"pseudogene"	693	44.59
"ENSG00000235265"	"pseudogene"	578	60.90
"ENSG00000235266"	"pseudogene"	315	35.56
"ENSG00000235267"	"pseudogene"	397	43.32
"ENSG00000206474"	"protein_coding"	1649	49.97
"ENSG00000163950"	"protein_coding"	1336	49.61
"ENSG00000254048"	"sense_intronic"	551	45.37
"ENSG00000231944"	"antisense"	598	42.47
"ENSG00000231947"	"pseudogene"	806	35.36
"ENSG00000175857"	"protein_coding"	1172	39.53
"ENSG00000231943"	"lincRNA"	583	46.75
"ENSG00000231942"	"pseudogene"	955	47.54
"ENSG00000231949"	"lincRNA"	481	51.98
"ENSG00000231948"	"sense_intronic"	600	56.67
"ENSG00000117632"	"protein_coding"	1334	45.72
"ENSG00000254045"	"IG_V_pseudogene"	28	64.29
"ENSG00000215186"	"protein_coding"	1268	50.19
"ENSG00000264721"	"miRNA"	92	58.70
"ENSG00000215313"	"pseudogene"	862	45.48
"ENSG00000170370"	"protein_coding"	2228	49.62
"ENSG00000110063"	"protein_coding"	1535	57.55
"ENSG00000110060"	"protein_coding"	1204	45.40
"ENSG00000170373"	"protein_coding"	707	57.77
"ENSG00000170374"	"protein_coding"	2158	58.28
"ENSG00000170379"	"protein_coding"	3253	55.27
"ENSG00000254043"	"lincRNA"	738	34.01
"ENSG00000265748"	"miRNA"	100	58.00
"ENSG00000265749"	"processed_transcript"	486	50.01
"ENSG00000265746"	"pseudogene"	1329	42.59
"ENSG00000265747"	"misc_RNA"	256	49.22
"ENSG00000265744"	"miRNA"	68	39.71
"ENSG00000265745"	"misc_RNA"	296	52.70
"ENSG00000265743"	"lincRNA"	409	35.70
"ENSG00000265740"	"misc_RNA"	294	46.94
"ENSG00000265741"	"misc_RNA"	286	52.10
"ENSG00000075856"	"protein_coding"	1366	49.28
"ENSG00000261451"	"sense_overlapping"	4641	41.35
"ENSG00000145888"	"protein_coding"	1684	51.49
"ENSG00000145882"	"protein_coding"	2829	52.89
"ENSG00000215319"	"pseudogene"	1231	40.62
"ENSG00000129083"	"protein_coding"	1137	41.60
"ENSG00000119771"	"protein_coding"	4292	57.68
"ENSG00000223812"	"lincRNA"	697	40.89
"ENSG00000234136"	"antisense"	473	41.44
"ENSG00000234135"	"pseudogene"	474	48.31
"ENSG00000234134"	"antisense"	300	46.67
"ENSG00000234133"	"lincRNA"	353	41.08
"ENSG00000234132"	"antisense"	508	53.94
"ENSG00000234131"	"pseudogene"	332	39.46
"ENSG00000234130"	"pseudogene"	2798	45.68
"ENSG00000234139"	"lincRNA"	412	42.87
"ENSG00000259340"	"pseudogene"	135	42.22
"ENSG00000119777"	"protein_coding"	1397	56.46
"ENSG00000259342"	"antisense"	729	54.32
"ENSG00000065675"	"protein_coding"	2654	47.51
"ENSG00000144821"	"protein_coding"	3603	44.75
"ENSG00000144820"	"protein_coding"	1668	39.31
"ENSG00000144827"	"protein_coding"	1280	41.86
"ENSG00000234690"	"lincRNA"	902	51.47
"ENSG00000144824"	"protein_coding"	3323	42.81
"ENSG00000143839"	"protein_coding"	1451	55.25
"ENSG00000171425"	"protein_coding"	1225	61.71
"ENSG00000171421"	"protein_coding"	665	54.03
"ENSG00000185245"	"protein_coding"	2501	55.38
"ENSG00000111331"	"protein_coding"	1701	56.05
"ENSG00000231996"	"pseudogene"	152	40.79
"ENSG00000139567"	"protein_coding"	1306	60.33
"ENSG00000111339"	"protein_coding"	1623	45.86
"ENSG00000135414"	"protein_coding"	2494	57.53
"ENSG00000135413"	"protein_coding"	514	49.18
"ENSG00000102144"	"protein_coding"	1477	45.79
"ENSG00000102145"	"protein_coding"	1032	59.25
"ENSG00000214867"	"pseudogene"	530	56.04
"ENSG00000214866"	"protein_coding"	687	46.64
"ENSG00000105499"	"protein_coding"	2096	52.44
"ENSG00000214860"	"protein_coding"	1373	59.80
"ENSG00000105497"	"protein_coding"	1823	45.71
"ENSG00000214869"	"pseudogene"	755	47.42
"ENSG00000105492"	"protein_coding"	1513	56.15
"ENSG00000201756"	"misc_RNA"	113	40.71
"ENSG00000075142"	"protein_coding"	979	41.88
"ENSG00000164924"	"protein_coding"	1456	46.86
"ENSG00000104738"	"protein_coding"	1235	51.30
"ENSG00000220884"	"pseudogene"	994	49.90
"ENSG00000263375"	"pseudogene"	1387	60.92
"ENSG00000118113"	"protein_coding"	1451	43.38
"ENSG00000263377"	"miRNA"	92	34.78
"ENSG00000263371"	"miRNA"	81	39.51
"ENSG00000263370"	"antisense"	270	48.15
"ENSG00000263372"	"miRNA"	96	37.50
"ENSG00000185837"	"antisense"	477	61.15
"ENSG00000263378"	"miRNA"	77	87.01
"ENSG00000219926"	"processed_transcript"	790	36.84
"ENSG00000042062"	"protein_coding"	2534	58.80
"ENSG00000219928"	"pseudogene"	174	52.30
"ENSG00000223361"	"pseudogene"	740	50.35
"ENSG00000253526"	"lincRNA"	445	42.92
"ENSG00000005108"	"protein_coding"	2314	47.13
"ENSG00000131910"	"protein_coding"	1156	59.26
"ENSG00000131914"	"protein_coding"	3733	48.11
"ENSG00000199303"	"misc_RNA"	111	41.44
"ENSG00000238939"	"snoRNA"	86	43.02
"ENSG00000238938"	"snoRNA"	107	42.99
"ENSG00000238933"	"misc_RNA"	112	45.54
"ENSG00000238932"	"snoRNA"	105	43.81
"ENSG00000078043"	"protein_coding"	1950	44.09
"ENSG00000238930"	"misc_RNA"	112	45.54
"ENSG00000253525"	"pseudogene"	1464	40.57
"ENSG00000238936"	"snoRNA"	73	41.10
"ENSG00000238935"	"snoRNA"	99	50.51
"ENSG00000238934"	"snoRNA"	129	67.44
"ENSG00000147799"	"protein_coding"	3352	64.52
"ENSG00000172197"	"protein_coding"	1981	48.62
"ENSG00000117501"	"protein_coding"	2026	40.74
"ENSG00000142871"	"protein_coding"	1420	57.19
"ENSG00000142875"	"protein_coding"	1961	37.15
"ENSG00000181619"	"protein_coding"	3559	53.60
"ENSG00000245164"	"lincRNA"	1773	41.77
"ENSG00000215405"	"protein_coding"	4091	50.72
"ENSG00000215403"	"antisense"	992	51.51
"ENSG00000226320"	"lincRNA"	689	43.88
"ENSG00000266749"	"misc_RNA"	272	48.53
"ENSG00000215409"	"pseudogene"	808	43.69
"ENSG00000259455"	"protein_coding"	3202	52.56
"ENSG00000259454"	"pseudogene"	414	49.03
"ENSG00000259457"	"lincRNA"	890	37.64
"ENSG00000259456"	"antisense"	572	50.70
"ENSG00000259451"	"lincRNA"	470	42.34
"ENSG00000259450"	"lincRNA"	1961	39.93
"ENSG00000259453"	"sense_intronic"	746	43.83
"ENSG00000259452"	"pseudogene"	472	51.69
"ENSG00000115548"	"protein_coding"	2474	43.75
"ENSG00000259459"	"lincRNA"	738	47.56
"ENSG00000259458"	"protein_coding"	2087	47.69
"ENSG00000258324"	"pseudogene"	115	45.22
"ENSG00000258325"	"antisense"	399	48.72
"ENSG00000258320"	"pseudogene"	1386	57.94
"ENSG00000258323"	"processed_transcript"	596	38.93
"ENSG00000165659"	"protein_coding"	4414	44.93
"ENSG00000234699"	"antisense"	657	54.34
"ENSG00000226328"	"lincRNA"	931	51.71
"ENSG00000143398"	"protein_coding"	1307	48.73
"ENSG00000177932"	"protein_coding"	5411	38.68
"ENSG00000221823"	"protein_coding"	1716	42.39
"ENSG00000221821"	"protein_coding"	550	59.82
"ENSG00000035720"	"protein_coding"	1328	39.90
"ENSG00000221826"	"protein_coding"	1385	47.75
"ENSG00000158485"	"protein_coding"	1209	44.62
"ENSG00000237161"	"pseudogene"	1206	43.20
"ENSG00000221829"	"protein_coding"	1037	55.84
"ENSG00000077549"	"protein_coding"	1117	53.04
"ENSG00000073849"	"protein_coding"	1314	51.64
"ENSG00000149507"	"protein_coding"	819	38.45
"ENSG00000145063"	"lincRNA"	1414	57.70
"ENSG00000143756"	"protein_coding"	1911	44.23
"ENSG00000138769"	"protein_coding"	1845	42.75
"ENSG00000138768"	"protein_coding"	2389	37.57
"ENSG00000133519"	"pseudogene"	1653	63.42
"ENSG00000257816"	"antisense"	413	58.84
"ENSG00000141994"	"protein_coding"	1746	63.73
"ENSG00000221497"	"miRNA"	96	32.29
"ENSG00000138760"	"protein_coding"	1619	43.89
"ENSG00000138767"	"protein_coding"	3145	41.59
"ENSG00000158669"	"protein_coding"	1324	51.53
"ENSG00000158481"	"protein_coding"	1145	47.47
"ENSG00000260054"	"lincRNA"	1569	60.48
"ENSG00000260057"	"lincRNA"	624	39.09
"ENSG00000260051"	"antisense"	570	62.11
"ENSG00000260053"	"pseudogene"	2185	56.16
"ENSG00000260052"	"lincRNA"	539	50.09
"ENSG00000177938"	"protein_coding"	1077	41.32
"ENSG00000260059"	"lincRNA"	2764	37.92
"ENSG00000260058"	"processed_transcript"	481	47.82
"ENSG00000101558"	"protein_coding"	1792	46.05
"ENSG00000198797"	"protein_coding"	2141	53.51
"ENSG00000196459"	"protein_coding"	1738	41.95
"ENSG00000101557"	"protein_coding"	1823	43.91
"ENSG00000234906"	"protein_coding"	717	51.60
"ENSG00000234907"	"pseudogene"	157	37.58
"ENSG00000031698"	"protein_coding"	1277	50.55
"ENSG00000234902"	"lincRNA"	689	44.72
"ENSG00000234903"	"pseudogene"	218	41.74
"ENSG00000234900"	"lincRNA"	729	43.07
"ENSG00000234901"	"pseudogene"	523	33.27
"ENSG00000104881"	"protein_coding"	3121	65.94
"ENSG00000234204"	"pseudogene"	458	39.96
"ENSG00000173715"	"protein_coding"	1125	50.60
"ENSG00000173714"	"protein_coding"	2890	59.89
"ENSG00000234207"	"lincRNA"	569	45.17
"ENSG00000202160"	"snRNA"	117	37.61
"ENSG00000236212"	"lincRNA"	510	45.88
"ENSG00000236213"	"antisense"	548	48.18
"ENSG00000236215"	"pseudogene"	515	63.50
"ENSG00000236216"	"pseudogene"	365	57.66
"ENSG00000236217"	"pseudogene"	423	38.30
"ENSG00000202169"	"misc_RNA"	96	36.46
"ENSG00000104885"	"protein_coding"	2491	63.08
"ENSG00000228624"	"lincRNA"	757	45.18
"ENSG00000250919"	"pseudogene"	1613	41.17
"ENSG00000104884"	"protein_coding"	2312	60.80
"ENSG00000157259"	"protein_coding"	2058	43.01
"ENSG00000234203"	"antisense"	439	55.58
"ENSG00000148468"	"protein_coding"	1724	56.48
"ENSG00000234300"	"lincRNA"	500	59.00
"ENSG00000138185"	"protein_coding"	4233	43.65
"ENSG00000150667"	"protein_coding"	1091	39.77
"ENSG00000138182"	"protein_coding"	4441	35.10
"ENSG00000138180"	"protein_coding"	1365	40.47
"ENSG00000104889"	"protein_coding"	1142	56.65
"ENSG00000116221"	"protein_coding"	976	52.62
"ENSG00000104450"	"protein_coding"	1835	44.15
"ENSG00000147475"	"protein_coding"	1617	45.85
"ENSG00000249302"	"pseudogene"	385	46.75
"ENSG00000107185"	"protein_coding"	3300	55.58
"ENSG00000107187"	"protein_coding"	2370	64.58
"ENSG00000107186"	"protein_coding"	3713	44.39
"ENSG00000130177"	"protein_coding"	1647	42.79
"ENSG00000085552"	"protein_coding"	3939	61.78
"ENSG00000217716"	"pseudogene"	494	53.24
"ENSG00000218965"	"pseudogene"	609	43.35
"ENSG00000224999"	"pseudogene"	866	41.57
"ENSG00000224995"	"lincRNA"	520	43.27
"ENSG00000130175"	"protein_coding"	2257	60.91
"ENSG00000217718"	"pseudogene"	243	42.39
"ENSG00000224992"	"sense_intronic"	531	57.25
"ENSG00000224993"	"pseudogene"	467	54.44
"ENSG00000196990"	"protein_coding"	700	66.04
"ENSG00000213005"	"pseudogene"	607	44.28
"ENSG00000196993"	"protein_coding"	1756	46.34
"ENSG00000213002"	"protein_coding"	991	28.86
"ENSG00000213003"	"pseudogene"	335	42.29
"ENSG00000196998"	"protein_coding"	1008	57.35
"ENSG00000100207"	"protein_coding"	3834	55.70
"ENSG00000100206"	"protein_coding"	1013	43.68
"ENSG00000100201"	"protein_coding"	2352	48.36
"ENSG00000104980"	"protein_coding"	1999	59.38
"ENSG00000197021"	"protein_coding"	1143	57.08
"ENSG00000104983"	"protein_coding"	1428	63.91
"ENSG00000100209"	"protein_coding"	853	49.04
"ENSG00000197024"	"protein_coding"	3248	52.31
"ENSG00000260943"	"lincRNA"	1951	33.57
"ENSG00000260942"	"antisense"	4000	54.58
"ENSG00000260941"	"sense_overlapping"	1570	37.71
"ENSG00000151655"	"protein_coding"	1291	46.22
"ENSG00000260947"	"lincRNA"	3528	38.24
"ENSG00000260946"	"antisense"	400	49.25
"ENSG00000260945"	"lincRNA"	551	49.36
"ENSG00000260944"	"antisense"	319	54.86
"ENSG00000260949"	"sense_overlapping"	911	46.98
"ENSG00000260948"	"sense_overlapping"	2023	38.75
"ENSG00000236531"	"lincRNA"	705	42.70
"ENSG00000236411"	"pseudogene"	525	41.14
"ENSG00000238118"	"pseudogene"	510	51.57
"ENSG00000235749"	"antisense"	1131	46.24
"ENSG00000235748"	"pseudogene"	560	40.36
"ENSG00000238115"	"processed_transcript"	2195	45.10
"ENSG00000067113"	"protein_coding"	955	53.19
"ENSG00000235745"	"pseudogene"	697	63.70
"ENSG00000261095"	"lincRNA"	1447	43.75
"ENSG00000261092"	"lincRNA"	425	47.06
"ENSG00000261093"	"antisense"	1838	59.74
"ENSG00000238113"	"lincRNA"	1327	43.58
"ENSG00000233421"	"lincRNA"	1548	58.20
"ENSG00000203690"	"protein_coding"	1986	54.58
"ENSG00000156920"	"protein_coding"	9342	42.29
"ENSG00000156925"	"protein_coding"	1934	52.56
"ENSG00000236414"	"lincRNA"	449	44.54
"ENSG00000203697"	"protein_coding"	1026	51.27
"ENSG00000156928"	"protein_coding"	1043	46.29
"ENSG00000106588"	"protein_coding"	2151	39.82
"ENSG00000233423"	"lincRNA"	575	36.52
"ENSG00000112902"	"protein_coding"	3460	49.40
"ENSG00000236534"	"pseudogene"	403	51.86
"ENSG00000124762"	"protein_coding"	1143	61.76
"ENSG00000124766"	"protein_coding"	3479	59.10
"ENSG00000124767"	"protein_coding"	1966	37.94
"ENSG00000182866"	"protein_coding"	1133	58.67
"ENSG00000236536"	"antisense"	692	45.95
"ENSG00000153002"	"protein_coding"	1097	43.33
"ENSG00000169488"	"protein_coding"	1216	42.02
"ENSG00000169484"	"protein_coding"	934	46.36
"ENSG00000140807"	"protein_coding"	1939	61.52
"ENSG00000196260"	"protein_coding"	538	56.50
"ENSG00000251228"	"pseudogene"	249	50.20
"ENSG00000251229"	"pseudogene"	900	43.56
"ENSG00000251222"	"pseudogene"	733	34.79
"ENSG00000203343"	"pseudogene"	480	53.96
"ENSG00000251220"	"pseudogene"	330	41.82
"ENSG00000203341"	"sense_intronic"	444	47.07
"ENSG00000203346"	"pseudogene"	117	58.97
"ENSG00000203344"	"pseudogene"	699	51.79
"ENSG00000253409"	"TR_V_gene"	347	56.48
"ENSG00000019144"	"protein_coding"	2452	59.10
"ENSG00000211716"	"TR_V_gene"	390	52.82
"ENSG00000211717"	"TR_V_gene"	412	53.16
"ENSG00000211714"	"TR_V_gene"	397	56.68
"ENSG00000211715"	"TR_V_gene"	343	55.10
"ENSG00000211713"	"TR_V_gene"	365	51.51
"ENSG00000211710"	"TR_V_gene"	373	50.67
"ENSG00000169733"	"protein_coding"	1401	64.22
"ENSG00000215878"	"pseudogene"	973	54.57
"ENSG00000189046"	"protein_coding"	900	53.62
"ENSG00000222934"	"misc_RNA"	343	47.23
"ENSG00000215875"	"pseudogene"	1061	45.33
"ENSG00000215874"	"pseudogene"	634	46.21
"ENSG00000078900"	"protein_coding"	2952	63.43
"ENSG00000215871"	"pseudogene"	814	44.23
"ENSG00000266479"	"pseudogene"	244	43.03
"ENSG00000266478"	"miRNA"	112	39.29
"ENSG00000266475"	"miRNA"	98	60.20
"ENSG00000266477"	"misc_RNA"	273	53.11
"ENSG00000266476"	"miRNA"	93	36.56
"ENSG00000266471"	"miRNA"	75	45.33
"ENSG00000266470"	"pseudogene"	159	40.25
"ENSG00000266473"	"antisense"	689	68.51
"ENSG00000177684"	"protein_coding"	253	37.94
"ENSG00000168280"	"protein_coding"	4226	45.14
"ENSG00000168283"	"protein_coding"	887	41.05
"ENSG00000229044"	"antisense"	439	44.65
"ENSG00000168286"	"protein_coding"	1885	59.95
"ENSG00000212065"	"miRNA"	86	32.56
"ENSG00000168288"	"protein_coding"	1191	40.93
"ENSG00000212067"	"miRNA"	83	34.94
"ENSG00000212066"	"miRNA"	95	32.63
"ENSG00000250910"	"antisense"	647	38.98
"ENSG00000212063"	"miRNA"	89	32.58
"ENSG00000228190"	"pseudogene"	425	46.12
"ENSG00000177689"	"protein_coding"	1953	47.36
"ENSG00000225119"	"processed_transcript"	2461	51.84
"ENSG00000225118"	"pseudogene"	198	41.92
"ENSG00000228194"	"pseudogene"	265	33.96
"ENSG00000228195"	"pseudogene"	881	43.36
"ENSG00000228196"	"pseudogene"	1072	40.95
"ENSG00000065060"	"protein_coding"	7052	49.39
"ENSG00000225113"	"antisense"	596	35.91
"ENSG00000240934"	"pseudogene"	410	54.15
"ENSG00000225111"	"sense_intronic"	469	36.67
"ENSG00000225110"	"pseudogene"	1960	61.12
"ENSG00000225117"	"pseudogene"	1215	54.81
"ENSG00000225116"	"pseudogene"	268	36.57
"ENSG00000257539"	"pseudogene"	1804	44.57
"ENSG00000214745"	"pseudogene"	1275	46.43
"ENSG00000052723"	"protein_coding"	1116	48.08
"ENSG00000149781"	"protein_coding"	1113	62.70
"ENSG00000167550"	"protein_coding"	978	53.60
"ENSG00000149782"	"protein_coding"	3270	61.56
"ENSG00000250645"	"pseudogene"	407	59.46
"ENSG00000110717"	"protein_coding"	775	62.36
"ENSG00000252174"	"snRNA"	62	37.10
"ENSG00000257534"	"lincRNA"	754	52.12
"ENSG00000257616"	"pseudogene"	2441	50.18
"ENSG00000167552"	"protein_coding"	1085	51.66
"ENSG00000213417"	"protein_coding"	763	57.27
"ENSG00000163618"	"protein_coding"	1979	44.03
"ENSG00000109519"	"protein_coding"	1569	49.63
"ENSG00000250579"	"processed_transcript"	889	60.85
"ENSG00000187999"	"pseudogene"	924	45.02
"ENSG00000250641"	"protein_coding"	1266	58.14
"ENSG00000250571"	"protein_coding"	962	66.94
"ENSG00000228440"	"pseudogene"	1798	38.04
"ENSG00000250572"	"lincRNA"	257	40.47
"ENSG00000228446"	"pseudogene"	715	41.82
"ENSG00000250574"	"pseudogene"	327	60.55
"ENSG00000187994"	"protein_coding"	2717	57.97
"ENSG00000250576"	"lincRNA"	342	41.52
"ENSG00000220695"	"pseudogene"	777	36.04
"ENSG00000162877"	"protein_coding"	1438	49.15
"ENSG00000220693"	"pseudogene"	1846	53.47
"ENSG00000142405"	"protein_coding"	3340	56.69
"ENSG00000162873"	"protein_coding"	1947	58.57
"ENSG00000185842"	"protein_coding"	3262	37.91
"ENSG00000142409"	"protein_coding"	1928	70.33
"ENSG00000142408"	"protein_coding"	8747	56.12
"ENSG00000162878"	"protein_coding"	1089	61.09
"ENSG00000185847"	"lincRNA"	566	51.52
"ENSG00000184719"	"protein_coding"	1386	48.29
"ENSG00000221125"	"snoRNA"	211	51.18
"ENSG00000221122"	"miRNA"	88	31.82
"ENSG00000221123"	"miRNA"	127	53.54
"ENSG00000221120"	"miRNA"	85	70.59
"ENSG00000221121"	"miRNA"	115	21.74
"ENSG00000205301"	"protein_coding"	1222	38.26
"ENSG00000221128"	"miRNA"	123	23.58
"ENSG00000184716"	"protein_coding"	1999	52.91
"ENSG00000167994"	"protein_coding"	1159	63.73
"ENSG00000163472"	"protein_coding"	1488	59.83
"ENSG00000167996"	"protein_coding"	770	55.18
"ENSG00000167992"	"protein_coding"	1671	61.64
"ENSG00000163479"	"protein_coding"	1144	51.68
"ENSG00000112701"	"protein_coding"	2440	38.01
"ENSG00000179967"	"pseudogene"	443	65.28
"ENSG00000179965"	"protein_coding"	1479	59.34
"ENSG00000181450"	"protein_coding"	1503	41.46
"ENSG00000186119"	"protein_coding"	988	45.65
"ENSG00000263634"	"miRNA"	89	43.82
"ENSG00000263635"	"processed_transcript"	467	49.25
"ENSG00000263636"	"miRNA"	101	55.45
"ENSG00000263637"	"antisense"	302	37.75
"ENSG00000263630"	"miRNA"	98	23.47
"ENSG00000263631"	"miRNA"	54	40.74
"ENSG00000263632"	"miRNA"	86	54.65
"ENSG00000263633"	"misc_RNA"	296	55.74
"ENSG00000110987"	"protein_coding"	3232	55.85
"ENSG00000253179"	"pseudogene"	212	61.79
"ENSG00000259158"	"lincRNA"	3034	42.55
"ENSG00000259159"	"protein_coding"	3902	62.61
"ENSG00000259154"	"pseudogene"	1267	65.59
"ENSG00000201451"	"misc_RNA"	97	45.36
"ENSG00000259156"	"pseudogene"	734	45.79
"ENSG00000112706"	"protein_coding"	3396	40.50
"ENSG00000259150"	"lincRNA"	644	47.52
"ENSG00000259151"	"pseudogene"	1398	49.00
"ENSG00000259152"	"sense_intronic"	318	46.54
"ENSG00000201457"	"snoRNA"	135	51.85
"ENSG00000213825"	"pseudogene"	1363	53.93
"ENSG00000213822"	"protein_coding"	1083	55.35
"ENSG00000213820"	"pseudogene"	659	59.94
"ENSG00000213828"	"protein_coding"	264	66.29
"ENSG00000225809"	"pseudogene"	992	41.73
"ENSG00000225808"	"pseudogene"	316	41.14
"ENSG00000225801"	"pseudogene"	1026	41.72
"ENSG00000244485"	"pseudogene"	569	58.52
"ENSG00000225803"	"pseudogene"	522	52.30
"ENSG00000225802"	"pseudogene"	454	50.66
"ENSG00000244480"	"pseudogene"	1393	50.32
"ENSG00000244482"	"protein_coding"	1851	60.06
"ENSG00000225806"	"antisense"	647	47.77
"ENSG00000229311"	"lincRNA"	3614	34.42
"ENSG00000229310"	"pseudogene"	456	36.84
"ENSG00000229313"	"antisense"	577	46.27
"ENSG00000229312"	"antisense"	443	45.60
"ENSG00000229315"	"lincRNA"	552	45.20
"ENSG00000229314"	"protein_coding"	740	54.59
"ENSG00000229316"	"pseudogene"	653	41.50
"ENSG00000158714"	"protein_coding"	1343	54.67
"ENSG00000158715"	"protein_coding"	2894	56.94
"ENSG00000158716"	"protein_coding"	726	63.37
"ENSG00000158717"	"protein_coding"	1033	62.40
"ENSG00000158710"	"protein_coding"	1153	57.54
"ENSG00000158711"	"protein_coding"	4278	43.75
"ENSG00000055044"	"protein_coding"	802	42.15
"ENSG00000107281"	"protein_coding"	938	68.84
"ENSG00000242886"	"pseudogene"	201	43.28
"ENSG00000242887"	"IG_J_gene"	49	51.02
"ENSG00000227401"	"pseudogene"	284	47.18
"ENSG00000227400"	"processed_transcript"	522	51.19
"ENSG00000227407"	"antisense"	529	68.05
"ENSG00000227406"	"pseudogene"	1784	40.53
"ENSG00000242880"	"processed_transcript"	533	42.96
"ENSG00000227404"	"pseudogene"	1409	58.41
"ENSG00000073350"	"protein_coding"	1409	62.98
"ENSG00000227409"	"antisense"	459	36.82
"ENSG00000230790"	"antisense"	561	52.58
"ENSG00000155760"	"protein_coding"	3851	52.84
"ENSG00000155761"	"protein_coding"	1264	40.90
"ENSG00000244736"	"misc_RNA"	279	51.25
"ENSG00000244734"	"protein_coding"	563	49.93
"ENSG00000182000"	"pseudogene"	403	43.67
"ENSG00000244732"	"misc_RNA"	294	51.70
"ENSG00000244733"	"lincRNA"	694	35.95
"ENSG00000244730"	"pseudogene"	330	46.36
"ENSG00000182004"	"protein_coding"	587	41.87
"ENSG00000204306"	"protein_coding"	125	72.80
"ENSG00000157895"	"protein_coding"	1184	55.89
"ENSG00000157890"	"protein_coding"	2460	53.78
"ENSG00000186710"	"protein_coding"	1057	66.30
"ENSG00000186716"	"protein_coding"	1683	59.71
"ENSG00000122674"	"protein_coding"	1403	43.53
"ENSG00000251768"	"rRNA"	91	49.45
"ENSG00000251767"	"snRNA"	62	40.32
"ENSG00000251766"	"rRNA"	119	51.26
"ENSG00000122678"	"protein_coding"	1404	62.80
"ENSG00000122679"	"protein_coding"	808	59.73
"ENSG00000251763"	"snRNA"	104	36.54
"ENSG00000251762"	"snoRNA"	87	37.93
"ENSG00000251761"	"snRNA"	107	31.78
"ENSG00000251760"	"rRNA"	117	58.97
"ENSG00000189169"	"protein_coding"	873	67.12
"ENSG00000232963"	"pseudogene"	273	50.18
"ENSG00000257088"	"protein_coding"	1479	66.87
"ENSG00000232964"	"lincRNA"	403	42.18
"ENSG00000232965"	"pseudogene"	270	46.67
"ENSG00000178363"	"protein_coding"	1302	64.82
"ENSG00000232968"	"pseudogene"	578	35.99
"ENSG00000232969"	"antisense"	127	63.78
"ENSG00000257083"	"lincRNA"	564	41.09
"ENSG00000252227"	"snoRNA"	81	37.04
"ENSG00000242771"	"TR_V_pseudogene"	273	47.62
"ENSG00000252225"	"misc_RNA"	91	42.86
"ENSG00000252224"	"snRNA"	126	44.44
"ENSG00000252223"	"snRNA"	107	45.79
"ENSG00000252222"	"snRNA"	62	41.94
"ENSG00000252220"	"snRNA"	103	40.78
"ENSG00000242779"	"pseudogene"	2478	37.89
"ENSG00000155495"	"protein_coding"	1989	51.62
"ENSG00000252228"	"snoRNA"	162	45.68
"ENSG00000256937"	"pseudogene"	863	60.37
"ENSG00000161036"	"protein_coding"	1451	64.00
"ENSG00000161031"	"protein_coding"	2308	62.55
"ENSG00000254687"	"antisense"	692	45.89
"ENSG00000254686"	"lincRNA"	802	45.51
"ENSG00000254685"	"protein_coding"	1182	41.46
"ENSG00000254684"	"pseudogene"	498	54.02
"ENSG00000254683"	"pseudogene"	210	58.57
"ENSG00000207857"	"miRNA"	92	57.61
"ENSG00000254681"	"pseudogene"	1998	65.35
"ENSG00000254680"	"antisense"	500	47.00
"ENSG00000207858"	"miRNA"	96	52.08
"ENSG00000254689"	"lincRNA"	466	39.48
"ENSG00000036828"	"protein_coding"	3188	51.55
"ENSG00000257336"	"pseudogene"	301	39.87
"ENSG00000257337"	"antisense"	939	49.85
"ENSG00000257335"	"protein_coding"	2649	44.08
"ENSG00000257332"	"pseudogene"	933	43.62
"ENSG00000257331"	"pseudogene"	1879	46.78
"ENSG00000201754"	"snoRNA"	67	43.28
"ENSG00000256681"	"pseudogene"	432	38.19
"ENSG00000256683"	"protein_coding"	2340	42.61
"ENSG00000256682"	"pseudogene"	940	38.19
"ENSG00000256684"	"lincRNA"	404	37.13
"ENSG00000256686"	"lincRNA"	772	45.08
"ENSG00000166492"	"pseudogene"	971	58.60
"ENSG00000170178"	"protein_coding"	1323	62.28
"ENSG00000170175"	"protein_coding"	1446	57.01
"ENSG00000198783"	"protein_coding"	1162	43.50
"ENSG00000198780"	"protein_coding"	3506	41.25
"ENSG00000198787"	"pseudogene"	911	49.51
"ENSG00000198786"	"protein_coding"	1812	44.92
"ENSG00000198785"	"protein_coding"	4134	43.88
"ENSG00000198788"	"protein_coding"	4208	61.95
"ENSG00000175520"	"protein_coding"	1612	55.15
"ENSG00000231431"	"pseudogene"	1113	53.89
"ENSG00000231435"	"lincRNA"	1036	58.98
"ENSG00000231434"	"pseudogene"	2167	39.96
"ENSG00000231437"	"lincRNA"	3068	45.53
"ENSG00000231436"	"pseudogene"	1145	42.88
"ENSG00000231439"	"antisense"	1067	52.48
"ENSG00000161692"	"protein_coding"	1544	54.81
"ENSG00000255794"	"lincRNA"	1307	39.64
"ENSG00000255790"	"sense_intronic"	505	45.43
